phrase1,phrase2,sentence1,sentence2,label,idx
see,see,what message do you see in this letter ?,we had to see a psychiatrist .,0,29
buff,buff,to strip to the buff .,swimming in the buff .,1,30
boy,boy,she made the boy brush his teeth every night .,most soldiers are only boys in uniform .,1,31
picture,picture,she was the picture of despair .,the very picture of a modern general .,1,32
answer,answer,she did n't want to answer .,this may answer her needs .,0,33
head,head,tickets are $ 5 per head .,he is two heads taller than his little sister .,0,34
break,break,break into tears .,"if the vase falls to the floor , it might break .",0,35
die,die,to die to pleasure or to sin .,she died from cancer .,1,36
peak,peak,the stock market reached a peak in september 1929 .,voltage peak .,1,37
civilization,civilization,a hermit does n't much care for civilization .,early mayan civilization .,1,38
carry,carry,these bonds carry warrants .,she carries her ideas to the extreme .,0,39
shot,shot,he wanted a shot at the champion .,i caught him with a solid shot to the chin .,0,40
body,body,the body of the car was badly rusted .,"penny was in the scullery , pressing the body of her new dress .",0,41
cut,cut,cut a ticket .,cut orders .,1,42
recognition,recognition,she seems to avoid much in the way of recognition or acknowledgement of feminist work prior to her own .,give her recognition for trying .,0,43
shift,shift,you have to shift when you go down a steep hill .,he shifted in his seat .,0,44
cube,cube,a stock cube .,a sugar cube .,1,45
follow,follow,let 's follow our great helmsman !,he followed his lecture with a question and answer period .,0,46
apply,apply,i apply this rule to get good results .,apply a magnetic field here .,1,47
fall,fall,fall asleep .,she fell ill .,1,48
make,make,she may not make the grade .,make a stir .,0,49
head,head,under the head of minor roman poets .,they tracked him back toward the head of the stream .,0,50
head,head,a reduction in the assessment per head of sheep .,200 head of cattle and 50 head of horses .,1,51
give,give,give a divorce .,the wall gave in .,0,52
drive,drive,to drive sheep out of a field .,drive the cows into the barn .,1,53
fall,fall,fall by the wayside .,to fall a tree .,0,54
gob,gob,he ′s always stuffing his gob with fast food .,she 's got such a gob on her – she′s always gossiping about someone or other .,1,55
scale,scale,the scale of the map .,the scale of the model .,1,56
stand,stand,we had to stand for the entire performance !,on the pedestal stood a statue .,1,57
make,make,she may not make the grade .,he made twenty bucks playing poker last night .,0,58
furniture,furniture,the woman does not even have one stick of furniture moved in yet .,there was only one piece of furniture in the room .,1,59
give,give,give a yelp .,this student gives promise of real creativity .,0,60
cut,cut,cut a movie scene .,cut a ping-pong ball .,0,61
extension,extension,most basic files use the filename extension .bas .,a text file will have a file extension of .txt .,1,62
seat,seat,he was elected to a seat in the senate .,he dusted off the seat before sitting down .,0,63
make,make,make enemies .,what do you make of his remarks ?,0,64
make,make,we should make cincinnati by 7 tonight .,make the bed .,0,65
take,take,do you take me for a fool ?,"looking at him as he came into the room , i took him for his father .",1,66
tea,tea,tea has fragrant white flowers .,iced tea is a cooling drink .,0,67
take,take,take sick .,i estimate the trip will take about ten minutes .,0,68
way,way,do you know the way to the airport ?,he said he was looking for the way out .,1,69
head,head,the head of the compass needle is pointing due north .,200 head of cattle .,0,70
lift,lift,lift the box onto the table .,i lifted the books .,1,71
space,space,the astronauts walked in outer space without a tether .,the space between his teeth .,0,72
score,score,what was your score on your homework ?,the score was 7 to 0 .,0,73
work,work,how does your idea work in practice ?,the voting process does n't work as well as people thought .,1,74
double,double,he could be gingrich 's double .,saddam hussein was rumored to have many doubles .,1,75
space,space,the space between his teeth .,the architect left space in front of the building .,1,76
fix,fix,"fix breakfast for the guests , please .",that 'll fix him good !,0,77
head,head,matters came to a head yesterday .,the head of the column advanced boldly .,0,78
show,show,he bet $ 2 on number six to show .,i showed the customer the glove section .,0,79
take,take,i take it you 're not going ?,he was often taken to be a man of means .,1,80
cut,cut,the employer wants to cut back health benefits .,cut trenches .,0,81
cot,cot,a roller cot ( the clothing of a drawing roller in a spinning frame ) .,a cot for a sore finger .,1,82
run,run,these dyes and colors are guaranteed not to run .,the sale will run for ten days .,0,83
see,see,now i see !,i want to see whether she speaks french .,0,84
drive,drive,drive the cows into the barn .,their debts finally drove them to sell the business .,0,85
bit,bit,a bit of lint .,the horse was not accustomed to a bit .,0,86
stir,stir,stir the soil .,stir emotions .,0,87
trombone,trombone,this trombone is very expensive .,jim plays the trombone very well .,1,88
fall,fall,to fall a tree .,night fell .,1,89
trace,trace,trace your path .,trace the outline of a figure in the sand .,0,90
take,take,take a pulse .,a reading was taken of the earth 's tremors .,1,91
carry,carry,i will carry the secret to my grave .,i carry a lot of life insurance .,1,92
body,body,"penny was in the scullery , pressing the body of her new dress .",heavenly body .,0,93
hold,hold,i hold with those who say life is sacred .,hold all calls to the president 's office while he is in a meeting .,0,94
build,build,build a reputation .,build detergents .,0,95
smooth,smooth,smooth the way towards peace negotiations .,smooth the surface of the wood .,0,96
carry,carry,we carry a very large mortgage .,the troops carried the town after a brief fight .,0,97
war,war,the war against crime .,"the "" war on terror "" is a campaign against terrorist crime .",1,98
reply,reply,please reply to my letter .,he replied that he was not sure .,1,99
house,house,the children were playing house .,she felt she had to get out of the house .,0,100
position,position,what position does he play ?,stop running all over the field and play your position !,1,101
play,play,play sports .,who 's playing now ?,1,102
circus,circus,the circus will be in town next week .,he ran away from home to join the circus .,1,103
break,break,break a law .,her voice broke to a whisper when she started to talk about her children .,0,104
woodenness,woodenness,there was a certain woodenness in his replies .,he criticized the woodenness of the acting .,1,105
wreck,wreck,thanks to that quack i am a human wreck .,the house was a wreck when they bought it .,1,106
catch,catch,catch the mood .,do n't catch your meaning .,0,107
blip,blip,renewed jitters in the wake of a blip in retail sales .,the market had one bad blip today .,1,108
vegetate,vegetate,the fields vegetate vigorously .,the bacterial growth vegetated along .,0,109
drag,drag,peeling potatoes is a drag .,he took a drag on his cigarette and expelled the smoke slowly .,0,110
score,score,he tried to blame the victim but his success on that score was doubtful .,settling a score .,0,111
head,head,she gave great head .,they tracked him back toward the head of the stream .,0,112
volume,volume,please turn down the volume on the stereo .,the kids played their music at full volume .,1,113
top,top,he removed the top of the carton .,he could n't get the top off of the bottle .,1,114
stand,stand,we had to stand for the entire performance !,there stood on the corner a statue .,1,115
breath,breath,he took a deep breath and dived into the pool .,i could feel the runner 's breath on my shoulder .,0,116
take,take,take steps .,take action .,1,117
stuff,stuff,what is all that stuff on your bedroom floor ?,you do n't have the stuff to be a united states marine .,0,118
raise,raise,raise a mutiny .,raise the roof .,0,119
fire,fire,we sat around the fire singing songs and telling stories .,barbecue over an open fire .,0,120
start,start,start a new job .,i start my day with a good breakfast .,0,121
run,run,the sale will run for ten days .,the meeting ran late .,1,122
do,do,do nothing .,a ' b ' grade does n't suffice to get me into medical school .,0,123
absence,absence,he was surprised by the absence of any explanation .,absence makes the heart grow fonder .,1,124
cut,cut,cut a check .,cut the rope .,0,125
ream,ream,ream oranges .,the dentist reamed out the debris in the course of the root canal treatment .,0,126
run,run,do n't run that software unless you have permission . ' .,run rogue .,0,127
run,run,i will run the sample .,our coach had us running plays for the whole practice .,1,128
keep,keep,may god keep you .,the student was kept after school .,0,129
work,work,work one 's way through the crowd .,she never worked because she inherited a lot of money .,0,130
draw,draw,draw water for a bath .,draw parallels .,0,131
make,make,clothes make the man .,he made to speak but said nothing in the end .,0,132
admit,admit,we 'll have to vote on whether or not to admit a new member .,he admitted his guilt .,0,133
take,take,you ca n't take credit for this !,we took an apartment on a quiet street .,0,134
make,make,make a mess in one 's office .,she 'll make a fine president .,0,135
stake,stake,i will stake my good reputation for this .,stake your goat .,0,136
make,make,he did n't make the choir after his voice changed .,you have to spend money to make money !,1,137
order,order,the machine is now in working order .,a friend in new mexico said that the order caused no trouble out there .,0,138
work,work,the voting process does n't work as well as people thought .,this method does n't work .,1,139
stuff,stuff,there 's good stuff in that book .,the stuff of heros .,0,140
interception,interception,he resorted to the interception of his daughter 's letters .,he claimed that the interception of one missile by another would be impossible .,1,141
raise,raise,raise a smile .,raise your ` o ' .,0,142
place,place,if you were in my place what would you do ?,he has a special place in my thoughts .,0,143
take,take,take steps .,shall we take a guide in rome ?,0,144
head,head,they say he gives good head .,the head of the list .,0,145
drug,drug,you look like someone drug you behind a horse for half a mile .,they drugged the kidnapped tourist .,1,146
place,place,he overstepped his place .,he put the lamp back in its place .,0,147
raise,raise,raise the question of promotions .,raise from the dead .,0,148
fall,fall,fall by the wayside .,christmas falls on a monday this year .,0,149
keep,keep,keep my job for me while i give birth .,keep a diary .,0,150
defense,defense,in defense he said the other man started it .,the artillery battered down the defenses .,0,151
take,take,we take all major credit cards .,do you take sugar in your coffee ?,1,152
give,give,give homage .,she gave herself to many men .,0,153
check,check,check the brakes .,check the oil in your car once a month .,1,154
restraint,restraint,the unlawful restraint of trade .,restraints imposed on imports .,0,155
hold,hold,he can hold his liquor .,"to carry well , i.e. to hold the head high , with arching neck .",0,156
visit,visit,did you ever visit paris ?,the principal visited his rage on the students .,0,157
line,line,a nice line of shoes .,they were arrayed in line of battle .,0,158
make,make,what do you make of his remarks ?,make a mistake .,0,159
break,break,can you break a hundred-dollar bill for me ?,the wholesaler broke the container loads into palettes and boxes for local retailers .,1,160
point,point,life has lost its point .,he broke the point of his pencil .,0,161
product,product,that store offers a variety of products .,that store offers a variety of products .,1,162
cover,cover,the grant does n't cover my salary .,the president covered the fact that he bugged the offices in the white house .,0,163
run,run,run a subject .,i 'm not ready to run a marathon .,0,164
accept,accept,i can not accept your invitation .,we accept the idea of universal health care .,0,165
action,action,the piano had a very stiff action .,a rifle action .,1,166
contact,contact,contact with the pier scraped paint from the hull .,the pilot made contact with the base .,0,167
carry,carry,put down 5 and carry 2 .,i am carrying his child .,0,168
cut,cut,would you please cut the cake ?,cut a hole .,0,169
gather,gather,gather some stones .,herman gathered the students together .,1,170
admit,admit,to admit a serious thought into the mind .,this pipe admits air .,1,171
side,side,it brought out his better side .,the confederate side was prepared to attack .,0,172
draw,draw,draw a weapon .,a ship draws ten feet of water .,0,173
wall,wall,a wall of prejudice .,the container 's walls were blue .,0,174
carry,carry,the airwaves carry the sound .,sound carries well over water .,1,175
carry,carry,these bonds carry warrants .,the dog was taught to fetch and carry .,0,176
turn,turn,turn the corner .,we turned from socialism to capitalism .,0,177
carry,carry,the dog was taught to fetch and carry .,carry a cause .,0,178
radiate,radiate,spokes radiate from the hub of the wheel .,the heat radiates from a stove .,0,179
choke,choke,choke a carburetor .,the pirate choked the sailor to death .,0,180
church,church,there is a lovely little church in the valley .,the church was empty .,1,181
take,take,do you take me for a fool ?,i take it you 're not going ?,1,182
connect,connect,"operator , could you connect me to the raffles in singapore ?",these computers connected well .,0,183
give,give,the french doors give onto a terrace .,the wall gave in .,0,184
return,return,his gross income was enough that he had to file a tax return .,on his return from australia we gave him a welcoming party .,0,185
action,action,he is out of action .,the piano had a very stiff action .,0,186
head,head,tickets are $ 5 per head .,we will consider performance issues under the head of future improvements .,0,187
hand,hand,"on the one hand ... , but on the other hand ...",all hands on deck .,0,188
spring,spring,the emerging buds were a sure sign of spring .,"you can visit me in the spring , when the weather is bearable .",1,189
describe,describe,"the feeling is difficult to describe , but not unpleasant .",he described what we should do .,1,190
know,know,do you know my sister ?,i know him under a different name .,1,191
turn,turn,turn your face to the wall .,the people turned against the president when he stole the election .,0,192
world,world,he sailed around the world .,all the world loves a lover .,0,193
ride,ride,i ride to work in a bus .,she rode a wave of popularity .,0,194
take,take,we take the times every day .,take action .,0,195
material,material,she was vice-presidential material .,he was university material .,1,196
work,work,this dough does not work easily .,can you work an electric drill ?,0,197
come,come,come into contact with a terrorist group .,where did you come from ?,0,198
fire,fire,"in warfare , whoever opens fire first has a greater chance of victory .",surrender fires the cold skepticism .,0,199
cover,cover,cover the grave with flowers .,she covered herself with glory .,0,200
point,point,what is the point of discussing it ?,he stuck the point of the knife into a tree .,0,201
play,play,it was all done in play .,rain stopped play in the 4th inning .,0,202
chance,chance,you take a chance when you let her drive .,we had the chance to meet the president last week .,0,203
cup,cup,he swore as the ball rimmed the cup and rolled away .,he drank a cup of coffee .,0,204
drop,drop,a drop of each sample was analyzed .,they expected the drop would be successful .,0,205
focus,focus,please focus on your studies and not on your hobbies .,focus on passing the test .,1,206
point,point,he broke the point of his pencil .,he stuck the point of the knife into a tree .,1,207
collision,collision,the collision of the two ships resulted in a serious oil spill .,three passengers were killed in the collision .,1,208
take,take,do you take me for a fool ?,he was often taken to be a man of means .,1,209
plug,plug,plug the wall .,he attempted to plug the leaks with some caulk .,0,210
mean,mean,the sky is red this morning — does that mean we 're in for a storm ?,my ex-husband means nothing to me .,0,211
washout,washout,it was several days after the storm before they could repair the washout and open the road .,from the house they watched the washout of their newly seeded lawn by the water .,0,212
shell,shell,nuts shell in falling .,wheat or rye shells in reaping .,1,213
make,make,make lead into gold .,how much do you make a month in your new job ?,0,214
run,run,the crowd had to run away from the burning structure with only the clothes on their backs .,who 's running for treasurer this year ?,0,215
leave,leave,leave the flowers that you see in the park behind .,the wound i got in my car accident left behind a massive scar .,1,216
thing,thing,how could you do such a thing ?,he has a thing about seafood .,0,217
land,land,it can be tricky to land a helicopter .,use the net to land the fish .,1,218
air,air,there was a tension in the air which made me suspect an approaching storm .,open a window and let in some air .,1,219
make,make,make a phone call .,they make a cute couple .,0,220
house,house,the house gets a percentage of every bet .,he has a house on cape cod .,0,221
custody,custody,he was mistreated while in police custody .,the suspect is in custody .,0,222
respect,respect,"he is an intellectual giant , and i have great respect for him .",be sure to give my respects to the dean .,0,223
stain,stain,people knew how to stain glass a beautiful blue in the middle ages .,stain this table a beautiful walnut color .,1,224
run,run,the sale will run for ten days .,the book runs 655 pages .,1,225
strike,strike,please strike this remark from the record .,we must strike the enemy 's oil fields .,0,226
take,take,i used to take the sunday times .,you ca n't take credit for this !,0,227
continue,continue,we can not continue several servants any longer .,the bad weather continued for two more weeks .,0,228
play,play,play the stock market .,play cards .,0,229
loaf,loaf,sugar loaf .,a loaf of cheese .,1,230
carry,carry,you must carry your camping gear .,amanda carried the package .,1,231
sum,sum,the sum of all our troubles did not equal the misery they suffered .,the sum of forty pounds .,0,232
see,see,he is blind -- he can not see .,i saw him laughing .,1,233
hit,hit,the temperature could hit 110 f tomorrow .,the movie hits theaters in december .,1,234
cut,cut,she cut the deck for a long time .,soap cuts grease .,0,235
work,work,mastering a second language requires a lot of work .,he arrived at work early today .,0,236
experience,experience,he recalled the experience vividly .,it was an experience he would not soon forget .,1,237
take,take,i used to take the sunday times .,take action .,0,238
focus,focus,please focus on your studies and not on your hobbies .,we focused on it .,1,239
thread,thread,a thread of smoke climbed upward .,from the air the road was a grey thread .,1,240
cut,cut,she cut the deck for a long time .,cut a disk .,0,241
come,come,come into contact with a terrorist group .,the shoes came untied .,1,242
coordinate,coordinate,coordinate his actions with that of his colleagues .,"coordinate the painters , masons , and plumbers .",1,243
place,place,your place or mine ?,if you were in my place what would you do ?,0,244
return,return,they set out on their return to the base camp .,i expect the house to be spotless upon my return .,1,245
law,law,there is a law against kidnapping .,"by law , one is not allowed to own a wallaby in new york city .",0,246
tumble,tumble,wash in warm water and tumble dry .,they tumbled the teams with no apparent pattern .,0,247
stream,stream,stream of consciousness .,two streams of development run through american history .,1,248
play,play,the play lasted two hours .,they made a futile play for power .,0,249
credit,credit,i give you credit for owning up to your mistake .,"he arrived five minutes late , but to his credit he did work an extra ten minutes at the end of his shift .",1,250
check,check,he paid all his bills by check .,he asked the waiter for the check .,0,251
drill,drill,"do n't drill here , there 's a gas pipe .",drill a small hole to start the screw in the right direction .,1,252
recognition,recognition,increasing recognition that diabetes frequently coexists with other chronic diseases .,a sudden recognition of the problem he faced .,1,253
remember,remember,can you remember her phone number ?,"i remember the concert clearly , but i ca n't recollect why i was there .",1,254
room,room,room to pass .,there was n't that much elbow room in the aircraft .,1,255
microprocessor,microprocessor,a disk drive contains a microprocessor to handle the internal functions of the drive .,a microprocessor functions as the central processing unit of a microcomputer .,1,256
piece,piece,it was a nice piece of work .,he needed a piece of granite .,0,257
move,move,to move in a matter .,she moved the queen closer to the centre of the board .,0,258
position,position,chief of staff is the second-highest position in the army .,atheists do not enjoy a favorable position in american life .,1,259
see,see,let 's see -- which movie should we see tonight ?,how nice to see you again !,0,260
head,head,his horse won by a head .,he is two heads taller than his little sister .,1,261
make,make,to make like a deer caught in the headlights .,"he made as if to punch him , but they both laughed and shook hands .",1,262
reduce,reduce,reduce an image .,reduce one 's standard of living .,0,263
work,work,he could not work the math problem .,this unpleasant situation is n't going to work itself out .,1,264
take,take,take an opportunity .,the escaped convict took to the hills .,0,265
pack,pack,you had better pack your swollen ankle with ice .,pack the faucet .,0,266
integrity,integrity,they admired his scrupulous professional integrity .,he expects to find in us the common honesty and integrity of men of business .,1,267
part,part,he wanted to feel a part of something bigger than himself .,the rear part of the house .,0,268
edge,edge,his voice had an edge to it .,she sat on the edge of the bed .,0,269
take,take,i take aspirin every day to thin my blood .,hitler took the baltic republics .,0,270
take,take,tomorrow the doctor will take the cast off her arm .,take the gun from your pocket .,1,271
create,create,you can create the color orange by mixing yellow and red .,the company was created 25 years ago .,1,272
be,be,i may be an hour .,when will the meeting be ?,0,273
touch,touch,the cooling touch of the night air .,this piano has a wonderful touch .,0,274
bum,bum,that mechanic 's a bum - he could n't fix a yo-yo .,a lazy bum .,1,275
pull,pull,pull one 's horse to a stand .,pull the ball .,0,276
catch,catch,did you catch a cold ?,the fashion did not catch .,0,277
see,see,we had to see a psychiatrist .,he saw action in viet nam .,0,278
make,make,make advances .,she 'll make a fine president .,0,279
realization,realization,a growing realization of the risk involved .,the victory was the realization of a whole year 's work .,0,280
know,know,it is vital that he not know .,she knew of our plan .,1,281
head,head,he stuck his head out the window .,they tracked him back toward the head of the stream .,0,282
touch,touch,he longed for the touch of her hand .,this room needs a woman 's touch .,0,283
fail,fail,where do today 's public schools fail ?,the attempt to rescue the hostages failed miserably .,1,284
stick,stick,stick the corner of the sheet under the mattress .,the friends stuck together through the war .,0,285
occupy,occupy,the young prince will soon occupy the throne .,he occupies two rooms on the top floor .,0,286
range,range,my students range from very bright to dull .,the instruments ranged from tuba to cymbals .,1,287
go,go,it 's your turn ; go .,"the gun went "" bang "" .",0,288
practice,practice,the practice of the law .,i took over his practice when he retired .,1,289
dress,dress,dress the windows .,marlene dressed herself .,0,290
meeting,meeting,they came together in a chance meeting on the way home from work .,next year the meeting will be in chicago .,1,291
fill,fill,do n't feed him any more : he 's had his fill .,she had heard her fill of gossip .,1,292
polish,polish,polish your social manners .,he polished up the chrome until it gleamed .,0,293
style,style,a cartilaginous style .,the anal styles of insects .,1,294
treat,treat,i like to treat myself to a day at a spa when i am depressed .,grandmother always treated us to the circus .,1,295
go,go,these luxuries all had to go under the khmer rouge .,this chair has got to go .,1,296
return,return,return to your native land .,the professor returned to his teaching position after serving as dean .,1,297
give,give,give thought to .,i gave two sons to the war .,0,298
school,school,he did n't miss a single day of school .,he walked to school every morning .,0,299
day,day,after that day she never trusted him again .,i 've been here for 2 days and a bit .,1,300
strike,strike,strike ` z ' on the keyboard .,the horse finally struck a pace .,0,301
make,make,make a cake .,he made twenty bucks playing poker last night .,0,302
break,break,break a branch from a tree .,the business partners broke over a tax question .,0,303
academy,academy,the academy of music .,the american academy of arts and sciences .,0,304
head,head,i 've got to go to the head .,this song keeps going through my head .,0,305
keep,keep,keep appointments .,we kept to the original conditions of the contract .,1,306
ground,ground,they fought to regain the lost ground .,the worm crawls through the ground .,0,307
spread,spread,they put out quite a spread .,the spread between lending and borrowing costs .,0,308
lob,lob,lob the tennis ball .,the guard lobbed a pass just over the defender .,1,309
draw,draw,draw a conclusion .,the doctors drew medical supplies from the hospital 's emergency bank .,0,310
fall,fall,the hills around here fall towards the ocean .,his eyes fell .,0,311
business,business,we do business all over the world .,he bought his brother 's business .,0,312
buildup,buildup,i envied his rapid buildup of assets .,a military buildup in preparation for the invasion .,1,313
object,object,the sole object of her trip was to see her children .,the object of the verb .,0,314
catch,catch,catch one 's breath .,catch some sleep .,1,315
order,order,it was on the order of a mile .,law and order .,0,316
replace,replace,the insurance will replace the lost income .,he replaced the old razor blade .,1,317
breath,breath,his sour breath offended her .,the child 's breath came quickly and unevenly .,0,318
break,break,break the code .,break a branch from a tree .,0,319
run,run,the horse will run the preakness next year .,i 'm not ready to run a marathon .,1,320
hand,hand,his hand was illegible .,a good hand .,1,321
shock,shock,he had an unruly shock of black hair .,the train hit the buffers with a great shock .,0,322
piece,piece,he 's packin ' a piece !,he needed a piece of granite .,0,323
coordinate,coordinate,coordinate our efforts .,coordinate his actions with that of his colleagues .,1,324
assume,assume,mr. jones will assume the position of a lifeguard until a proper replacement is found .,the queen assumed the stately robes .,0,325
shock,shock,subjects received a small electric shock when they made the wrong response .,it came as a shock to learn that he was injured .,0,326
end,end,the end of the year .,one end of the box was marked ` this side up ' .,0,327
quality,quality,this school is well-known for having teachers of high quality .,"quality of life is usually determined by health , education , and income .",1,328
cast,cast,who cast this beautiful movie ?,cast a vote .,0,329
get,get,we 'll get them !,she did n't get the joke .,0,330
hold,hold,to hold true .,hold that position behind the trees !,0,331
pay,pay,crime does n't pay .,it pays to go through the trouble .,1,332
smile,smile,she had a smile on her face .,he always puts a smile on my face .,1,333
age,age,it 's been an age since we last saw you .,it was replaced because of its age .,1,334
glimpse,glimpse,from the window he could catch a glimpse of the lake .,"i only got a glimpse of the car , so i can tell you the colour but not the registration number .",0,335
open,open,open a business .,the door opened .,0,336
product,product,that store offers a variety of products .,the product of 2 and 3 is 6 .,0,337
change,change,she brought a change in her overnight bag .,the product is undergoing a change in order to improve it .,0,338
lie,lie,do n't lie to your parents .,the snow lies on the roof .,0,339
demand,demand,i demand an explanation .,this position demands a lot of personal sacrifice .,0,340
art,art,he said that architecture is the art of wasting space beautifully .,how great thou art !,0,341
line,line,a dedicated line .,the letter consisted of three short lines .,0,342
check,check,please check each name on the list .,she checked for an instant and missed a step .,0,343
lead,lead,a good lead for a job .,they did n't follow our lead .,0,344
get,get,the operator could n't get kobe because of the earthquake .,what did you get at the toy store ?,0,345
roll,roll,roll your hair around your finger .,the thunder rolled .,0,346
invitation,invitation,she threw the invitation away .,she was an invitation to trouble .,0,347
figure,figure,he cut a fine figure .,he cut a sorry figure standing there in the rain .,1,348
go,go,this violinist is as good as juilliard-trained violinists go .,it 's your turn ; go .,0,349
chromosome,chromosome,humans have 22 chromosome pairs plus two sex chromosomes .,there have been documented cases of morphologically male transgenders having xx chromosomes .,1,350
action,action,the union action of emancipating southern slaves .,recent federal action undermined the segregationist position .,1,351
drift,drift,drift the cattle herds westwards .,the balloon was drifting in the breeze .,0,352
work,work,this old radio does n't work anymore .,this pilot works the controls .,0,353
coverage,coverage,the enemy fire is increasing – can we get some immediate coverage from those bunkers ?,there are overlapping coverages on your insurance policies .,1,354
raise,raise,raise cain .,raise the roof .,1,355
lift,lift,lift an embargo .,lift potatoes .,0,356
chain,chain,the third link of the silver chain needs to be resoldered .,the chain of command .,1,357
number,number,the number of parameters is small .,he had a number of chores to do .,1,358
know,know,i know that i left the key on the table .,galileo knew that the earth moves around the sun .,1,359
crash,crash,let 's crash the party !,the economy crashed .,0,360
one,one,this is the one i ordered .,he is the best one .,1,361
distance,distance,if that happens it will be at some distance in the future .,at a distance of ten years he had forgotten many of the details .,1,362
rub,rub,rub oil into her skin .,the cat rubbed itself against my leg .,1,363
draw,draw,draw a conclusion .,i draw a line here .,1,364
dress,dress,we had to dress quickly .,marlene dressed the baby .,1,365
quality,quality,the quality of students has risen .,"quality of life is usually determined by health , education , and income .",1,366
patch,patch,a cabbage patch .,does n't that patch of clouds looks like a bunny ?,0,367
swing,swing,the soccer player began to swing at the referee .,this action swung many votes over to his side .,0,368
gather,gather,gather some stones .,"if you want to emphasise the shape , it is possible to gather the waistline .",0,369
narrowness,narrowness,the attraction of the book is precisely its narrowness of focus .,frustrated by the narrowness of people 's horizons .,1,370
number,number,in english the subject and the verb must agree in number .,i hope to become one of their number before i die .,0,371
pay,pay,you 'll pay for this !,you 'll pay for this opinion later .,1,372
rub,rub,rub my hands .,rub oil into her skin .,1,373
run,run,the defensive line braced to stop the run .,the team enjoyed a brief run of victories .,0,374
touch,touch,"can he reach ? "" "" the chair must not touch the wall .",their hands touched .,0,375
advance,advance,can you advance me some money ?,to advance one 's interests .,0,376
form,form,sculpture is a form of art .,"to apply for the position , complete the application form .",0,377
go,go,messages must go through diplomatic channels .,the speech has to go through several more drafts .,0,378
finish,finish,his best finish in a major tournament was third .,it was a fight to the finish .,0,379
head,head,a reduction in the assessment per head of sheep .,he was at the head of the column .,0,380
range,range,he dreamed of a home on the range .,they used to drive the cattle across the open range every spring .,1,381
run,run,run a new program on the mac .,do n't run that software unless you have permission . ' .,1,382
land,land,they come from a faraway land .,he returned to the land of his birth .,0,383
break,break,nobody can break out -- this prison is high security .,three inmates broke jail .,1,384
reduce,reduce,reduce a problem to a single question .,reduce one 's standard of living .,0,385
bank,bank,the pilot had to bank the aircraft .,bank a fire .,0,386
splash,splash,i heard a splash when the rock landed in the pond .,he made a great splash and then disappeared .,0,387
check,check,check the time of the class .,check the oil in your car once a month .,0,388
give,give,give the orders .,the french doors give onto a terrace .,0,389
develop,develop,develop land .,the country developed its natural resources .,1,390
rearrange,rearrange,please rearrange these files .,rearrange the furniture in my room .,1,391
art,art,art does not need to be innovative to be good .,it 's quite an art .,0,392
see,see,i went to see my friend mary the other day .,this program will be seen all over the world .,0,393
business,business,show me where the business was today .,business has been slow lately .,1,394
carry,carry,put down 5 and carry 2 .,this paper carries a restaurant review .,0,395
sing,sing,i really want to sing in the school choir . said vera .,my brother sings very well .,1,396
job,job,the job of repairing the engine took several hours .,i 've got a job for you - could you wash the dishes ?,1,397
give,give,give a course .,she gave the boy a good spanking .,0,398
time,time,we had a wonderful time at the party .,i did n't have time to finish .,0,399
title,title,he looked for books with the word ` jazz ' in the title .,i can never remember movie titles .,1,400
