split,sentence1,sentence2,score
train,A divided Supreme Court ruled Monday that Congress can force the nation's public libraries to equip computers with anti-pornography filters.,"The Supreme Court said Monday the government can require public libraries to equip computers with anti-pornography filters, rejecting librarians' complaints that the law amounts to censorship.",3.6
train,The weakness exists in the way that VBA looks at the properties of documents passed to it when the document is opened by a host application.,The vulnerability exists in the way Microsoft's Visual Basic for Applications checks document properties passed to it when a document is opened.,3.8
train,"Of 24 million phoned-in votes, 50.28 percent were for Studdard, putting him 130,000 votes ahead of Aiken.","Of the 24 million phone votes cast, Studdard was only 130,000 votes ahead of Aiken.",3.4
train,Consumers still would have to get a descrambling security card from their cable operator to plug into the set.,"To watch pay television, consumers would insert into the set a security card provided by their cable service.",3.4
train,"The Food and Drug Administration rejected ImClone's 2001 application to sell Erbitux, citing shoddy research.","The U.S. Food and Drug Administration rejected ImClone's original application in December 2001, saying the trial had been sloppily conducted.",2.8
train,"Critics say the law violates civil liberties, something House Judiciary Committee Chairman James Sensenbrenner, R-Wis., says he is sensitive to.","House Judiciary Committee Chairman James Sensenbrenner, R-Wis., says he is sensitive to civil liberties complaints.",3.75
train,"The Dodgers won their sixth consecutive game their longest win streak since 2001 as they edged Colorado, 3-2, Wednesday in front of a crowd of 25,332 at Dodger Stadium.","The Dodgers won their sixth consecutive game and seventh in their last nine as they beat Colorado 3-2 on Wednesday in front of a crowd of 25,332 at Dodger Stadium.",4.4
train,"The 30-year bond US30YT=RR firmed 31/32, taking its yield to 4.16 percent -- another record low -- from 4.22 percent.","The 30-year bond <US30YT=RR> firmed 24/32, taking its yield to 4.18 percent, after hitting another record low of 4.16 percent.",2.75
train,"On Thursday, a Washington Post article argued that a 50 basis point cut from the Fed was more likely, contrary to the Wall Street Journal's line.","On Thursday, a Post article argued that a 50 basis point cut from the Fed was more likely.",3.75
train,Lay had argued that handing over the documents would be a violation of his Fifth Amendment rights against self-incrimination.,"Lay had refused to turn over the papers, asserting his Fifth Amendment right against self-incrimination.",3.8
train,Strayhorn said it was the first time in Texas history a comptroller had not certified the appropriations act.,"In a news release Thursday, Strayhorn said this was the first time a comptroller rejected a budget.",3.2
train,"Excluding the charges, analysts, on average, expected a loss of 11 cents a share.",Analysts polled by Thomson Financial First Call had been expected to see a loss of about 11 cents a share from continuing operations.,3.8
train,Mr Sahel said police had identified the bodies of seven of the 14-strong cell believed to have carried out the five almost simultaneous attacks on Saturday.,He said police had identified the bodies of seven of the 14 bombers who launched five almost simultaneous raids Friday night.,4.0
train,"Only New Jersey now bans holders of learners permits or intermediate licenses from using cell phones, pagers or other wireless devices while driving.","In addition, the NTSB also recommended to NHTSA that state legislation be enacted to prohibit holders of learners permits and intermediate licenses from using mobile phones while driving.",1.4
train,The University of Michigan released today a new admissions policy after the U.S. Supreme Court struck down in June the way it previously admitted undergraduates.,The University of Michigan plans to release a new undergraduate admissions policy Thursday after its acceptance requirements were rejected by the U.S. Supreme Court in June.,4.2
train,Former company chief financial officer Franklyn M. Bergonzi pleaded guilty to one count of conspiracy on June 5 and agreed to cooperate with prosecutors.,"Last week, former chief financial officer Franklyn Bergonzi pleaded guilty to one count of conspiracy and agreed to cooperate with the government's investigation.",4.2
train,The company didn't detail the costs of the replacement and repairs.,But company officials expect the costs of the replacement work to run into the millions of dollars.,2.0
train,"""I felt that if I disagreed with Rosie too much I would lose my job,"" she said.","Cavender did say: ""I felt that if I disagreed with Rosie too much I would lose my job.""",3.25
train,The device plays Internet radio streams and comes with a 30-day trial of RealNetworks' Rhapsody music service.,The product also streams Internet radio and comes with a 30-day free trial for RealNetworks' Rhapsody digital music subscription service.,5.0
train,"The dollar fell as low as $1.1624 per euro from $1.1486 on Friday, and traded at $1.1594 at 10:15 a.m. in London.",The dollar dropped to $1.1564 per euro at 7:30 a.m. in London from $1.1486 on Friday.,3.0
train,"The American decision provoked an angry reaction from the European Commission, which described the move as ""legally unwarranted, economically unfounded and politically unhelpful"".","The European Commission, the EU's powerful executive body, described the move as ""legally unwarranted, economically unfounded and politically unhelpful.""",3.75
train,"Ms. Cripps-Prawak left last Friday, two days after the department introduced a plan to distribute medical marijuana through doctors' offices.","The director of the Office of Medical Access, Cindy Cripps-Prawak, left her job after the department introduced a plan to distribute marijuana through doctors' offices.",4.25
train,"During 2001 and 2002, Morgenthau said, wire transfers from just four of Beacon Hill's 40 accounts totaled more than $3.2 billion.","Wire transfers from four of the 40 accounts open at Beacon Hill totaled more than $3.2 billion from 2001 to 2002, Morgenthau said.",4.75
train,"Last year, he made an unsuccessful bid for the Democratic nomination for governor.","He ran last year for the Democratic nomination for Texas governor, but lost the primary to multimillionaire Tony Sanchez.",3.25
train,"The nation's largest retailer has told its 100 top suppliers they have to start using electronic tags on all pallets of goods by Jan. 25, 2005.","Wal-Mart has told its top 100 suppliers that they'll need to have radio-frequency ID systems in place for tracking pallets of goods through the supply chain by Jan. 25, 2005.",3.75
train,He was taken to a hospital for precautionary X-rays on his neck.,"Harvey was taken to St. Luke's Hospital for precautionary neck X-rays, which came back negative.",3.25
train,"During the hearing, Morales expressed ""sincere regrets and remorse"" for his actions.","Morales, who pleaded guilty in July, expressed ""sincere regret and remorse"" for his crimes.",3.8
train,U.S. District Judge Edmund Sargus ruled that the Akron-based company should have determined that changes at one of its plants would increase overall pollution emissions.,"FirstEnergy Corp. should have determined that modernizing one of its plants would increase overall pollution emissions, U.S. District Judge Edmund Sargus ruled Thursday.",3.6
train,"Site Finder has been visited 65 million times since its introduction, Galvin said.","Through Sunday, Sept. 21, Site Finder has been visited over 65 million times by Internet users.",3.8
train,There are 103 Democrats in the Assembly and 47 Republicans.,Democrats dominate the Assembly while Republicans control the Senate.,2.0
train,"""I came basically to Washington to establish relationships and to make sure that we are getting more federal money to California,"" Schwarzenegger said after meeting with congressional Republicans.","""I came to Washington basically to establish relationships and make sure we are getting more federal money,"" Schwarzenegger said after one meeting.",4.2
train,"The latest snapshot of the labor markets was slightly better than economists were expecting; they were forecasting claims to fall no lower than 410,000 for last week.","Despite problems in the job market, the latest snapshot of the labor markets was slightly better than economists were expecting.",3.4
train,"""They were tossed around like feathers,"" Gordon said.","""The concrete barriers (between lanes) were being tossed around like feathers.""",3.0
train,"Chante Jawan Mallard, 27, went on trial Monday, charged with first-degree murder.","Chante Jawaon Mallard, 27, is charged with murder and tampering with evidence.",3.0
train,"""IT is the only vehicle on which established economies will be able to compete,"" Barrett said.","""IT is the only vehicle on which established economies will be able to compete"" with fast-growing economies such as China and India, Barrett said.",3.25
train,"Linda Saunders pleaded guilty in federal court to six charges, including extortion, money laundering and conspiracy.",Former Phipps aides Linda Saunders and Bobby McLamb have both pleaded guilty to federal charges including extortion.,2.75
train,Vivendi shares closed 3.8 percent up in Paris at 15.78 euros.,Vivendi shares were 0.3 percent up at 15.62 euros in Paris at 0841 GMT.,2.6
train,Microsoft has identified the freely distributed Linux software as one of the biggest threats to its sales.,The company has publicly identified Linux as one of its biggest competitive threats.,3.4
train,"Antonio Monteiro de Castro, 58, currently director of the group’s Latin America & Caribbean operations, will become chief operating officer from the same date.","BAT also said Antonio Monteiro de Castro, director for Latin America and the Caribbean, would become chief operating officer on January 1, 2004.",3.6
train,"On Tuesday, the central bank left interest rates steady, as expected, but also declared that overall risks were weighted toward weakness and warned of deflation risks.","The central bank's policy board left rates steady for now, as widely expected, but surprised the market by declaring that overall risks were weighted toward weakness.",4.0
train,"The new system costs between $1.1 million and $22 million, depending on configuration.","The system is priced from US$1.1 million to $22.4 million, depending on configuration.",3.6
train,Dusty had battled kidney cancer for more than a year.,Dusty had surgery for cancer in 2001 and had a kidney removed.,2.4
train,"Kadyrov was not injured, but four of his bodyguards were among those killed.",But Itar-Tass news agency said four of his bodyguards were among those killed by the bomb.,3.0
train,"The router will be available in the first quarter of 2004 and will cost around $200, the company said.","Netgear prices the WGT634U Super Wireless Media Router, which will be available in the first quarter of 2004, at under $200.",3.0
train,The officials did not say whether U.S. forces crossed into Syrian territory and were vague about how the Syrian border guards became involved.,"U.S. officials did not say whether American forces, who were acting on intelligence, crossed into Syrian territory and were vague about how the Syrian guards were involved.",4.0
train,VeriSign introduced its Site Finder service on Sept. 15.,"The battle around VeriSign""s three-week-old Site Finder service rages on.",1.75
train,"On Monday, as first reported by CNET News.com, the RIAA withdrew a DMCA notice to Penn State University's astronomy and astrophysics department.","Last Thursday, the RIAA sent a stiff copyright warning to Penn State's department of astronomy and astrophysics.",1.75
train,"Druce is still being held at the prison and is now in isolation, she said.",Druce last night was held in isolation at the same prison.,4.5
train,"Their leader, Abu Bakr al-Azdi, turned himself in in June; his deputy was killed in a recent shootout with Saudi forces.","Their leader, Abu Bakr al-Azdi, surrendered in June; his deputy was killed in a shoot-out with Saudi forces recently.",5.0
train,"After Freitas' opening statement, King County Superior Court Judge Charles Mertel recessed trial until after the Thanksgiving weekend.",King County Superior Court Judge Charles Mertel will then recess the trial until Monday.,3.0
train,"Google's investors include prominent VC firms Kleiner Perkins Caufield & Byers and Sequoia Capital, the paper noted.",Google's early stage backers in include California-based Stanford University and VC firms Kleiner Perkins and Sequoia Capital.,2.8
train,July 1st is the sixth anniversary of Hong Kong's return to Chinese rule.,The rally overshadowed ceremonies marking the sixth anniversary of Hong Kong's return to China on 1 July 1997.,2.667
train,"""I'm not going to be sponsoring it because it is not our proposal but I'm not going to be negative about it"".","""I'm not going to be sponsoring it because it's not our proposal, but I'm not responding to it in a negative way,"" he said.",4.4
train,"The government recently shelved peace talks with the MILF, being brokered by Malaysia, after a string of attacks, including three bombings, on Mindanao.","The government recently shelved peace talks being brokered by neighbouring Malaysia after a spate of attacks on Mindanao, including three deadly bombings, that it blamed on the MILF.",4.25
train,"The company posted a profit of $54.3 million, or 22 cents per share, in the year-ago period.","That was up from the year-ago quarter, when the company earned $54.3 million, or 22 cents a share.",4.176
train,"Joining Boston on Monday were the Massachusetts communities of Watertown, Saugus and Framingham.","Along with Boston, Watertown, Saugus and Framingham also are going smoke-free Monday.",3.0
train,He was tracked to Atlanta where he was arrested on Tuesday night.,"He was arrested in Atlanta, Georgia, on Monday night by police acting on a tip-off.",2.5
train,The union had not yet revealed which chain would be targeted.,The union said it would reveal later which chain would be targeted.,4.6
train,"The updated products include Pylon Pro, Pylon Conduit, Pylon Anywhere, and Pylon Application Server.",The new products on the desktop side include the latest versions of Pylon Conduit and Pylon Pro.,2.8
train,Dixon was otherwise the class of the field at Pikes Peak International Raceway.,Scott Dixon eventually made winning the Honda Indy 225 look easy Sunday at Pikes Peak International Raceway.,2.8
train,"In April, it had forecast operating earnings in the range of 60 to 80 cents a share.",Kodak expects earnings of 5 cents to 25 cents a share in the quarter.,1.0
train,"From Florida to Alaska, thousands of revelers vowed to push for more legal rights, including same-sex marriages.","Thousands of revellers, celebrating the decision, vowed to push for more legal rights, including same-sex marriages.",4.2
train,"Others with such a status are Egypt, Israel, and Australia.",Nations like Israel and Australia already have such status.,2.5
train,The findings appear in Wednesday's Journal of the American Medical Association (news - web sites).,The results are to be published in Wednesday's issue of The Journal of the American Medical Association.,3.5
train,"Additionally, the h2210’s cradle has room to charge a second battery.",The cradle for the h2200 has space for recharging a second battery.,4.75
train,"U.S. forces struck dozens of targets on Monday, killing six guerrillas and arresting 21 others, the military said.","U.S. forces struck dozens of targets on Monday, killing six guerrillas and arresting 99 others during 1,729 patrols and 25 raids conducted over 24 hours.",3.0
train,"""Close co-operation between law-enforcement agencies and intelligence services lie at the heart of the ongoing fight against terrorism,"" Mr Howard said.","Close cooperation between regional law enforcement agencies and intelligence services was at the heart of the fight against terrorism, he said.",4.0
train,"In 2006, the group says the market will rebound 29.6 percent to $21.3 billion in sales.","In 2006, Asia Pacific will report growth of 7.9 percent to $81.8 billion.",2.0
train,"They came despite what BA called a ""difficult quarter"", which it said included unofficial industrial action at Heathrow.","BA said the second quarter, which included unofficial industrial action at Heathrow, had been difficult.",3.6
train,This northern autumn US trainers will work with soldiers from four North African countries on patrolling and gathering intelligence.,"Later this year, the command will send trainers with soldiers from four North African nations on patrolling and intelligence gathering missions.",3.8
train,It later emerged that he had broken his right thigh and bones in his right wrist and elbow.,Tour doctors later confirmed that he had broken his right leg near the hip and also sustained wrist and elbow fractures.,4.0
train,The author is one of several defense experts expected to testify.,Spitz is expected to testify later for the defense.,3.0
train,"""The figures are becoming catastrophic,"" said Dr. Patrick Pelloux, the president of the association of emergency room physicians.","This is unacceptable,"" said Patrick Pelloux, the president of France's Association of Emergency Doctors.",2.5
train,"""Whatever has happened to you by way of punishment is certainly more than enough,"" Covello told the 49-year-old, whose family, friends and supporters filled half the courtroom.","""What has happened to you, sir, by way of punishment, is certainly more than enough,"" Covello said.",3.0
train,The mother also alleged in the lawsuit that she was sexually assaulted by one of the guards.,The mother also contended that she was sexually assaulted by one of the guards during the 1998 confrontation.,4.0
train,"The two-year note US2YT=RR fell 5/32 in price, taking its yield to 1.23 percent from 1.16 percent late on Monday.","The benchmark 10-year note US10YT=RR lost 11/32 in price, taking its yield to 3.21 percent from 3.17 percent late on Monday.",2.0
train,As part of a restructuring Peregrine sold its Remedy help desk software unit last year to BMC Software Inc.,Peregrine sold its Remedy business unit to BMC Software in November for $355 million.,3.0
train,"Yes, from today Flash memory purchased from AMD or Fujitsu will be branded Spansion.",Spansion Flash memory solutions are available worldwide from AMD and Fujitsu.,2.625
train,The world's two largest automakers said their U.S. sales declined more than predicted last month as a late summer sales frenzy caused more of an industry backlash than expected.,Domestic sales at both GM and No. 2 Ford Motor Co. declined more than predicted as a late summer sales frenzy prompted a larger-than-expected industry backlash.,3.2
train,"The pressure may well rise on Thursday, with national coverage of the final round planned by ESPN, the cable sports network.","The pressure will intensify today, with national coverage of the final round planned by ESPN and words that are even more difficult.",3.2
train,"Pataki praised Abraham's decision, and LIPA Chairman Richard Kessel said the cable should be kept in operation permanently.","LIPA Chairman Richard Kessel said that meant the cable could be used ""as we see fit.",2.4
train,Dynes came to UC San Diego in 1991 after 22 years as a physicist with AT&T Bell Labs.,"Dynes has been at UC San Diego since 1991 after spending 22 years with AT&T Bell Labs, where he worked on superconductors and other materials.",3.6
train,"Shares in BA were down 1.5 percent at 168 pence by 1420 GMT, off a low of 164p, in a slightly stronger overall London market.","Shares in BA were down three percent at 165-1/4 pence by 0933 GMT, off a low of 164 pence, in a stronger market.",2.4
train,Joining Stern and McEntee on stage was International Union of Painters and Allied Trades President James Williams.,The International Union of Painters and Allied Trades endorsed Mr Dean several weeks ago.,2.6
train,"It exploded in his hands, but the former Italian prime minister was unhurt.",The letter bomb sent to Prodi exploded in his hands but he was unhurt.,3.6
train,"Halabi's military attorney, Air Force Maj. James Key, denied the charges, which could carry a death penalty.","The attorney representing al-Halabi, Air Force Maj. James Key III, denied the charges, according to The Associated Press.",3.2
train,"The House has passed prescription-drug legislation in the last two sessions, but the Senate has failed to do so.","The House has passed bills the past two Congresses, but the Senate has not.",3.4
train,"Once converted, BayStar will own an aggregate of approximately 2.95 million shares of SCO common stock or 17.5 percent of the company's outstanding shares.","The investment gives Larkspur, Calif.-based BayStar more than 2.9 million shares of SCO common stock, or 17.5 percent of the company's outstanding shares.",4.0
train,The elderly and those with weakened immune systems are also urged to protect against mosquito bites.,"But for the elderly and those with weakened immune systems, it can be fatal.",2.6
train,OPEC producers at a meeting on Wednesday are set to pressure independent oil exporters to contribute to the cartel's next supply cut to allow for the return of Iraqi oil.,OPEC this week is set to pressure independent exporters to back the cartel's next supply cut to prevent the resumption of Iraqi exports undercutting oil prices.,2.8
train,"Ms Lafferty's lawyer, Thomas Ezzell, told a Kentucky newspaper: ""My understanding of this is that there is a lower percentage of successful impregnations with frozen.","""My understanding of this is that there is a lower percentage of successful impregnations with frozen,"" Ezzell said.",3.6
train,"The Federal Trade Commission (FTC) asked Congress today for additional authority to fight unwanted Internet spam, which now accounts for up to half of all e-mail traffic.","The Federal Trade Commission asked Congress yesterday for broader powers to attack the rapidly growing problem of spam, which new studies show accounts for half of all e-mail traffic.",5.0
train,"People who have opposed these actions throughout are now trying to find fresh reasons to say this wasn't the right thing to do.""","""What is happening here is that people who have opposed this action throughout are trying to find fresh reasons why it was not the right thing to do.""",4.0
train,"Klarman was arrested by FBI agents in the Hamptons, an exclusive summer resort enclave east of New York City.",Klarman was arrested by FBI agents Monday morning at his home in New York.,4.0
train,"The report also claims that there will be up to 9.3 million visitors to hot spots this year, up again from the meagre 2.5 million in 2002.","There will be 9.3 million visitors to hot spots in 2003, up from 2.5 million in 2002, Gartner said.",4.5
train,"Richard Miller remained hospitalized after undergoing a liver transplant, but his wife has recovered.","Richard Miller, 57, survived a lifesaving liver transplant but remains hospitalized.",3.2
train,Sequent representatives could not immediately be reached for comment on the SCO announcement.,A spokesman for SCO could not be reached for comment this afternoon.,3.8
train,"WORLD No. 2 Lleyton Hewitt has accused the Association of Tennis Professionals of malice, including an alleged attempt last year to dupe him into refusing a drug test.","World No.2 Lleyton Hewitt has accused his professional peers of long-standing malice, including an attempt last year to dupe him into refusing a drug test.",4.0
train,MSN Messenger 6 will be available for download starting at 6 p.m. GMT on Wednesday from http://messenger.msn.com/download/v6preview.asp.,"The MSN Messenger 6 software will be available from 11 a.m. PST on Wednesday, according to Microsoft.",3.25
train,"Families stuck on the highway remained in their cars, and used their cell phones to call home.","Families stuck on the highway were being urged to remain in their cars, and to use their cell phones only in case of emergency.",3.0
train,"A promotional poster, complete with countdown dial, reminds readers of the upcoming release of ""Harry Potter and the Order of the Phoenix.""","The crates are full of hardback copies of ""Harry Potter and the Order of the Phoenix.""",1.5
train,"A spokesman said: ""Since November, we have co-operated fully with the police.","It added it had ""co-operated fully"" with police since November.",4.25
train,"Women who eat potatoes and other tuberous vegetables during pregnancy may be at risk of triggering type 1 diabetes in their children, Melbourne researchers believe.",Australian researchers believe they have found a trigger of type 1 diabetes in children - their mothers eating potatoes and other tuberous vegetables during pregnancy.,4.25
train,"The broad Standard & Poor's 500 Index .SPX inched up 3 points, or 0.32 percent, to 970.","The technology-laced Nasdaq Composite Index .IXIC lost 2 points, or 0.18 percent, to 1,649.",0.75
train,People who once thought their blood pressure was fine actually may be well on their way to hypertension under new U.S. guidelines published on Wednesday.,"People who once thought their blood pressure was fine actually need to start exercising and eating better, according to new U.S. guidelines published on Wednesday.",3.0
train,Amazon also reported that the New York Attorney General's office had settled civil fraud charges with one of the spoofers it identified.,Amazon and the New York attorney general's office have already settled with one of the alleged e-mail forgers.,3.75
train,The leading actress nod went to energetic newcomer Marissa Jaret Winokur as Edna's daughter Tracy.,"Marissa Jaret Winokur, as Tracy, won for best actress in a musical.",4.0
train,"""It appears from our initial report that this was a textbook landing considering the circumstances,"" Burke said.","Said Mr. Burke: ""It was a textbook landing considering the circumstances.""",4.0
train,"Allegiant shares rose $4, or $17.2 percent, to $27.43 in Thursday morning trading on the Nasdaq Stock Market.","Allegiant's stock closed Wednesday at $23.40, up 64 cents, in trading on the Nasdaq market.",2.0
train,"By state law, 911 calls are not public information and were not released.","By law, 911 calls are not public information in Rhode Island.",3.4
train,The ADRs fell 10 cents to $28.95 at 10:06 a.m. in New York Stock Exchange composite trading today.,"Shares of Fox Entertainment Group Inc., News Corp.'s U.S. media and entertainment arm, fell 45 cents to $26.85 in New York Stock Exchange composite trading.",1.4
train,"It will take time to oust die-hard remnants of Saddam Hussein's deposed regime in Iraq, Defense Secretary Donald H. Rumsfeld said Tuesday.",Defense Secretary Donald H. Rumsfeld said Tuesday it will take time to locate die-hard remnants of Saddam Hussein's deposed regime in Iraq.,4.8
train,Bremer said one initiative is to launch a $70 million nationwide program in the next two weeks to clean up neighborhoods and build community projects.,"Bremer said he would launch a $70-million program in the next two weeks to clean up neighborhoods across Iraq and build community projects, but gave no details.",3.4
train,"A search for three missing teenagers uncovered at least two bodies buried beneath freshly poured concrete in the basement of a house, authorities said Wednesday.",Authorities performed an autopsy Thursday on one of three bodies recovered from beneath a layer of freshly poured concrete in the basement of a northwest Indiana home.,2.4
train,"The Nasdaq composite index added 30.46 points, or 2 percent, to 1,520.15.","The Nasdaq had a weekly gain of 17.27, or 1.2 percent, closing at 1,520.15 after gaining 30.46 yesterday.",2.4
train,The British Foreign Office said Monday that coalition authorities in Iraq were pleased that the men were freed.,The British Foreign Office said it had mediated the two men's release.,2.6
train,Wal-Mart estimates more than 100 million Americans visit their stores every week.,"Each week 138 million shoppers visit Wal-Mart's 4,750 stores.",2.8
train,"""I am proud that I stood against Richard Nixon, not with him,"" Kerry said.","""I marched in the streets against Richard Nixon and the Vietnam War,"" she said.",2.4
train,He claimed Red Hat and the Free Software Foundation with trying to undermine U.S. copyright and patent law.,"In his letter, McBride charges the Free Software Foundation and Red Hat with trying to undermine U.S. copyright laws.",4.0
train,"Shares of Corixa were gaining 71 cents, or 10%, to $7.91 on the Nasdaq.","In late-morning trading on the Nasdaq Stock Market, Corixa was up 74 cents, or 10%, at $7.94.",3.25
train,"Police then called a bomb squad, but the device exploded, killing Wells, before bomb technicians arrived.","While waiting for a bomb squad to arrive, the bomb exploded, killing Wells.",4.0
train,"Spokesmen for the FBI, CIA, Canadian Security Intelligence Service and Royal Canadian Mounted Police declined to comment on El Shukrijumah's stay in Canada.","The FBI, CIA, Canadian Security Intelligence Service and Royal Canadian Mounted Police declined to comment on the Washington Times report.",2.75
train,"""This has been a persistent problem that has not been solved,"" investigation board member Steven Wallace said.","""This was a persistent problem which has not been solved, mechanically and physically,"" said board member Steven Wallace.",4.0
train,"The Dow Jones industrial average .DJI ended up 56.79 points, or 0.67 percent, at 8,588.36 -- its highest level since January 17.","The Dow Jones Industrial Average ($DJ: news, chart, profile) rose 56 points, or 0.7 percent, to 8,588.",3.6
train,"""Americans don't cut and run, we have to see this misadventure through,"" she said.","She also pledged to bring peace to Iraq: ""Americans don't cut and run, we have to see this misadventure through.""",3.6
train,"""It just seems like all the issues that we support, he doesn't,"" said Gabriela Lemus of LULAC.","""It just seems like all the issues that we support he doesn't,"" said Gabriela Lemus, the league's director of policy and legislation.",4.2
train,"""City-grown pollution, and ozone in particular, is tougher on country trees,"" says Cornell University ecologist Jillian Gregg.","""I know this sounds counterintuitive, but it's true: City-grown pollution -- and ozone in particular -- is tougher on country trees,"" U.S. ecologist Jillian Gregg said.",3.6
train,Ridge said no real explosives or harmful devices will be used in the exercise.,Ridge said that no actual explosives or other harmful substances will be used.,4.6
train,"Dennehy, who transferred to Baylor last year after getting kicked off the University of New Mexico Lobos for temper tantrums, had begun to read the Bible daily.","Dennehy, who transferred to Baylor last year after getting kicked off the University of New Mexico Lobos for temper tantrums, became a born-again Christian in June 2002.",3.6
train,"This is America, my friends, and it should not happen here,"" he said to loud applause.","""This is America, my friends, and it should not happen here.""",3.25
train,"Bashir felt he was being tried by opinion not on the facts, Mahendradatta told Reuters.","Bashir also felt he was being tried by opinion rather than facts of law, he added.",4.0
train,Schofield got Toepfer to admit on cross-examination that she ignored many of O'Donnell's suggestions and projects.,"But under cross-examination by O'Donnell's attorney, Lorna Schofield, Toepfer conceded she had ignored many of O'Donnell's suggestions and projects.",4.5
train,"On May 1, he crawled through a narrow, winding canyon, rappelled down a 60-foot cliff and walked some six miles down the canyon.","He crawled through a narrow, winding canyon, rappelled down a 60-foot cliff, and walked some six miles down the canyon near Canyonlands National Park in southeastern Utah.",3.75
