,sentence1,sentence2,label,hypothesis_graph_structure
19,"Even if you don't live near a stream or river (though most people do), there are many little things you can do to help prevent too much water and soil run-off from contaminating streams and rivers where anadromous fishes live: Keep your lawn vegetated.",People can help keep a forest a good place for birds to live by preventing too many trees from being cut down.,0,too many trees<>from being cut down<>$$$People<>can help<>keep a forest a good place$$$People<>can help keep<>a forest<>a good place for birds to live by preventing too many trees from being cut down$$$birds<>to live<>$$$birds<>to live by preventing<>too many trees<>from being cut down
20,"MINERALS A mineral is any naturally-occurring, homogeneous solid that has a definite chemical composition and a distinctive internal crystal structure.",A mineral is described as a solid natural material with a crystal structure.,1,A mineral<>is described<>as a solid natural material with a crystal structure
21,"Selfish Cells Threaten Multicellular Life, Trends in Ecology and Evolution Excerpt: How far have conflicts at the cell and organism level influenced the evolution of multicellularity?",Single-celled organisms and multicellular organisms have this in common: both have a way to get rid of waste materials.,0,both<>have<>a way to get rid of waste materials$$$Single-celled organisms and multicellular organisms<>have<>this
22,Frogs replace them with lungs in the transition from tadpoles to adults.,A frog develops (a/an) lungs as it changes from a tadpole to an adult frog.,1,A frog<>develops<>$$$it<>changes<>from a tadpole<>to an adult frog
23,3) The earth is far enough from the sun so that its surface temperature isn't unbearably hot .,The surface of the sun is much hotter than almost anything on earth.,0,The surface of the sun<>is<>much hotter than almost anything on earth
24,Solar system: the Sun and all bodies orbiting around it.,The largest body in our solar system is the sun.,0,The largest body in our solar system<>is<>the sun
25,The sun and stars appeared exactly as they do to us upon earth.,"From earth, the sun appears brighter than any other star because the sun is the closest star",0,the sun<>appears brighter<>because the sun is the closest star$$$the sun<>is<>the closest star
26,"Indeed, these and most fungi are multicellular organisms made up of cells have cell walls, a typical plant characteristic.",Single-celled organisms and multicellular organisms have this in common: both have a way to get rid of waste materials.,0,both<>have<>a way to get rid of waste materials$$$Single-celled organisms and multicellular organisms<>have<>this
27,"For example, active health is offered in every grade to teach students to monitor their own healthy habits such as nutrition, substance abuse and smoking.",Exercising every day is an example of a good health habit.,0,Exercising every day<>is<>an example of a good health habit
28,Identify her master traits and provide an example from the reading for each trait.,Being able to read is an example of a learned trait.,0,Being able to read<>is<>an example of a learned trait
29,"On Titan, rain and clouds are most likely made up of liquid methane, not water.",Rain is an example of liquid water.,0,Rain<>is<>an example of liquid water
30,CSX operates a north-south length of railroad track that connects Chrisman and Paris.,A(n) increase in length happens to metal railroad tracks during the heat of a summer day.,0,A(n) increase in length<>happens<>to metal railroad tracks<>during the heat of a summer day
31,"Slugs, believe it or not have a very important purpose. They are decomposers, which means they eats wastes and organic materials of other organisms. They help get rid of the t…rash that animals leave behind.",Single-celled organisms and multicellular organisms have this in common: both have a way to get rid of waste materials.,0,both<>have<>a way to get rid of waste materials$$$Single-celled organisms and multicellular organisms<>have<>this
32,"I 4.4.3d Different forms of energy include heat, light, electrical, mechanical, sound, nuclear, and chemical.","Heat, light, and sound are all different forms of energy.",1,"Heat, light, and sound<>are<>different forms of energy$$$Heat<>[is]<>light"
33,"Your eyes of blue and hair that's straight, Comes through heredity, inheriting a human trait.",A human offspring inherit blue eyes.,1,A human offspring<>inherit<>blue eyes
34,"Energy, heat and/or sound are forms of matter.","Heat, light, and sound are all different forms of energy.",0,"Heat, light, and sound<>are<>different forms of energy$$$Heat<>[is]<>light"
35,What good are cactus spines?,The spines of a cactus help it survive because spines protect the cactus from animals.,0,it<>survive<>because spines protect the cactus from animals$$$spines<>protect<>the cactus from animals
36,The energy in the coal came from the sun and was stored in the plants.,"Coal is nonrenewable, and the sun is renewable is how coal and the sun compare as sources of energy.",0,the sun<>is<>renewable
37,"Of course, the Sun is the closest star to Earth.","From earth, the sun appears brighter than any other star because the sun is the closest star",1,the sun<>appears brighter<>because the sun is the closest star$$$the sun<>is<>the closest star
38,Pumpkin Fruit RollUps Chop pumpkin and cook in saucepan until soft.,A pumpkin is a fruit.,0,A pumpkin<>is<>a fruit
39,Wait for a series of blue blocks to appear and fill the slot.,A blue block appears blue in the sunlight if only blue light is reflected by the block.,0,only blue light<>is reflected<>by the block
40,Be able to give examples of the marketing applications of these types of learning.,Being able to read is an example of a learned trait.,0,Being able to read<>is<>an example of a learned trait
41,"as, to inject cold water into a condenser;",Dew forming on plants during a cold night is an example of water condensing.,0,Dew forming on plants during a cold night<>is<>an example of water condensing
42,"The cholla, with its long spines, provides a well protected home for the cactus wren and its young.",The spines of a cactus help it survive because spines protect the cactus from animals.,0,it<>survive<>because spines protect the cactus from animals$$$spines<>protect<>the cactus from animals
43,turbulent flow) air flow rate The mass/volume of air moved per unit of time through a space opening or duct.,The best explanation for how air masses move across the united states is that the prevailing westerlies move air masses from west to east across the united states but may be deflected by the jet stream.,0,air masses<>move<>across the united states$$$the prevailing westerlies<>may be deflected<>by the jet stream$$$The best explanation for how air masses move across the united states<>is<>that the prevailing westerlies move air masses from west to east across the united states but may be deflected by the jet stream$$$the prevailing westerlies<>move<>air masses<>from west<>to east<>across the united states
44,"As a House of Animals There are many trees living in woods, and their flowers, nuts and fruits support the life of small animals such as a squirrel.",A squirrel storing nuts is preparing for a seasonal change in the environment.,0,A squirrel storing nuts<>is preparing<>for a seasonal change in the environment$$$A squirrel<>storing<>nuts
45,"We may, for example, respond to a loud noise by saying ""That sounded like a gunshot.""",The sound in a loud classroom is an example of a form of energy.,0,The sound in a loud classroom<>is<>an example of a form of energy
46,Now the carbon atom we are following is sent out inlo the air as a part of a carbon dioxide molecule again.,Air is made of atoms.,0,Air<>is made<>of atoms
47,"In some programs, genetic counselors use DNA fingerprint information to help prospective parents understand the risk of having an affected child.",Children resemble their parents because they have similar dna.,0,Children<>resemble<>their parents<>because they have similar dna$$$they<>have<>similar dna
48,"Genes determine all inherited traits including those that give the individual specific characteristics (blue eyes rather than brown eyes) as well as common characteristics (two eyes, two arms, etc.).",A human offspring inherit blue eyes.,1,A human offspring<>inherit<>blue eyes
49,An organism eats other living things to survive;,A moose eats a plant is an example of a living thing that depends on another living thing to survive.,1,A moose<>eats<>a plant$$$A moose eats a plant<>is<>an example of a living thing$$$a living thing<>depends<>on another living thing
50,"In this food chain, energy flows from the grass (producer) to the deer (primary consumer) to the tiger (secondary consumer).",A consumer and producer in a food chain are involved when a deer eats a leaf.,1,A consumer and producer in a food chain<>are involved<>when a deer eats a leaf$$$a deer<>eats<>a leaf
51,"It consists of three main components: a bicycle for creating mechanical energy, a generator for converting the mechanical energy into electricity, and a display panel that has the necessary wiring and a range of gadgets",A person uses mechanical energy to pedal a bicycle.,1,A person<>uses<>mechanical energy<>to pedal a bicycle$$$A person<>uses mechanical energy to pedal<>a bicycle
52,"Seeking shelter from the pouring rain, you duck into a nearby music store.","When it rains, some animals will move to seek shelter.",0,some animals<>will move<>to seek shelter<>When it rains$$$some animals<>to seek<>shelter
53,This tactic is similar to the parental idea of ignoring a child having a tantrum.,Children resemble their parents because they have similar dna.,0,Children<>resemble<>their parents<>because they have similar dna$$$they<>have<>similar dna
54,It rotates on its axis once every 60 Earth days.,Earth rotates on its axis once times in one day.,0,Earth<>rotates on<>its axis once times$$$Earth<>rotates on its axis once times in<>one day$$$its axis once times<>in<>one day
55,"Our lenses will enhance what you want to see and block out sunlight, blue-light, glare and distracting objects and terrain.",A blue block appears blue in the sunlight if only blue light is reflected by the block.,0,only blue light<>is reflected<>by the block
56,This respect must have been similar to the feelings of a child for its parents.,Children resemble their parents because they have similar dna.,0,Children<>resemble<>their parents<>because they have similar dna$$$they<>have<>similar dna
57,For required action realization use one of the types of mechanical energy.,A person uses mechanical energy to pedal a bicycle.,0,A person<>uses<>mechanical energy<>to pedal a bicycle$$$A person<>uses mechanical energy to pedal<>a bicycle
58,"The sun, moon and twelve stars represent the heavenly bodies of our solar system.",The largest body in our solar system is the sun.,0,The largest body in our solar system<>is<>the sun
59,"Both units protect against lighting, high winds, burglary, fire, tornadoes and hurricanes.",Both hurricanes and tornadoes always have high winds.,0,Both hurricanes and tornadoes<>have<>high winds<>always
60,"> >It's turned into plasma, a burning gas as hot as the surface of the sun.",The surface of the sun is much hotter than almost anything on earth.,0,The surface of the sun<>is<>much hotter than almost anything on earth
61,Looking Good: Is exercise a dangerous habit?,Exercising every day is an example of a good health habit.,0,Exercising every day<>is<>an example of a good health habit
62,"You will be able to distinguish between single-trait, multi-trait and social learning theories of personality.",Being able to read is an example of a learned trait.,0,Being able to read<>is<>an example of a learned trait
63,a natural mineral rock salt.,A mineral is described as a natural substance that makes up rocks.,0,A mineral<>is described<>as a natural substance$$$a natural substance<>makes up<>rocks
64,"On sweltering summer days, city power supplies are often taxed by increased air conditioning use, as citizens struggle to beat the heat.",A(n) increase in length happens to metal railroad tracks during the heat of a summer day.,0,A(n) increase in length<>happens<>to metal railroad tracks<>during the heat of a summer day
65,"EVAPORATION: the process of liquid water becoming water vapor, including vaporization from water surfaces, land surfaces and snow fields, but not from leaf surfaces.",Evaporation is responsible for changing liquid water into water vapor.,1,Evaporation<>is<>responsible for changing liquid water into water vapor
66,Build with blue blocks.,A blue block appears blue in the sunlight if only blue light is reflected by the block.,0,only blue light<>is reflected<>by the block
67,"At one temperature and pressure, called the Triple Point , all three phases of water (liquid), water vapor (gas), and ice (solid) coexist at equilibrium.",One way to change water from a liquid to a solid is to decrease the temperature.,0,One way to change water from a liquid to a solid<>is<>to decrease the temperature
68,"Use this microscope to see: microorganisms in pond water, human tissue, plant cells, insect parts and more.",A microscope would best help a person observe the parts of a plant cell.,1,A microscope<>would best help<>a person observe the parts of a plant cell$$$a person<>observe<>the parts of a plant cell
69,The parent said she was having a difficult time explaining the situation to her child and maintaining the child's belief in Santa.,Children resemble their parents because they have similar dna.,0,Children<>resemble<>their parents<>because they have similar dna$$$they<>have<>similar dna
70,"One example was given: flammability - the ability of a substance to burn in the presence of oxygen. Some substances (wood, alcohol) are very flammable, others are not. Iron (see above) reacts with oxygen, but so slowly we do not say the iron burns, but that it rusts.",Wood burning is an example of a different substance being formed.,0,Wood burning<>is<>an example of a different substance$$$a different substance<>being formed<>
71,"When the weather begins to cool off in the fall, the birds fly south to find warm winter weather and plenty of food.",Many species of birds in new england fly south for the winter months to find an environment with more food.,1,the winter months<>to find<>an environment with more food
72,ECONOMY OF WOOD BURNING FACILITIES There are several successful examples of projects with wood burning.,Wood burning is an example of a different substance being formed.,0,Wood burning<>is<>an example of a different substance$$$a different substance<>being formed<>
73,Evaporation is the process of changing water from liquid to gas.,Evaporation is responsible for changing liquid water into water vapor.,1,Evaporation<>is<>responsible for changing liquid water into water vapor
74,Pauling: 1.78 Allred Rochow: 1.49 Crystal Structure structure: tetragonal The following CrystalMaker image represents the solid state structure.,A mineral is described as a solid natural material with a crystal structure.,0,A mineral<>is described<>as a solid natural material with a crystal structure
75,"The railroad trestle and the highway bridge attract a small number of fishermen throughout the year, with activity increasing to approximately 20 persons per day on weekends during summer.",A(n) increase in length happens to metal railroad tracks during the heat of a summer day.,0,A(n) increase in length<>happens<>to metal railroad tracks<>during the heat of a summer day
76,The blue wavelength reflected from the ground is blocked;,A blue block appears blue in the sunlight if only blue light is reflected by the block.,0,only blue light<>is reflected<>by the block
77,"Without it, the surface temperature of Earth would be either extremely hot or extremely cold, depending on which side is facing the",The surface of the sun is much hotter than almost anything on earth.,0,The surface of the sun<>is<>much hotter than almost anything on earth
78,X1014316970-00284-62165</DOCNO> A Cactus A Cactus Cactus CACTUS A cactus is any of the family of plants that are native to north and South America and usually have clusters of spines.,The spines of a cactus help it survive because spines protect the cactus from animals.,0,it<>survive<>because spines protect the cactus from animals$$$spines<>protect<>the cactus from animals
79,"Mechanical structures of musculoskeletal systems and impedance regulation Koji Ito (Toyohashi Univ. of Technology) Dynamic simulation of bicycle ergometer pedalling using human muscle characteristics Mitsuhiko Hasegawa (Nagaoka Univ. of Technology), et al.",A person uses mechanical energy to pedal a bicycle.,0,A person<>uses<>mechanical energy<>to pedal a bicycle$$$A person<>uses mechanical energy to pedal<>a bicycle
80,Saturn orbits the Sun once every 29.4 Earth years.,Earth makes a complete revolution around the sun about once every year.,0,Earth<>makes about once<>a complete revolution around the sun
81,Heat and summer months activate and increase the biting.,A(n) increase in length happens to metal railroad tracks during the heat of a summer day.,0,A(n) increase in length<>happens<>to metal railroad tracks<>during the heat of a summer day
82,"As the tadpole transforms into an adult frog, its gills are absorbed into the body and the lungs take over for the process of respiration.",A frog develops (a/an) lungs as it changes from a tadpole to an adult frog.,1,A frog<>develops<>$$$it<>changes<>from a tadpole<>to an adult frog
83,freezing the change of a liquid into a solid as temperature decreases.,One way to change water from a liquid to a solid is to decrease the temperature.,1,One way to change water from a liquid to a solid<>is<>to decrease the temperature
84,11B sun other star Is the Sun another star?,"From earth, the sun appears brighter than any other star because the sun is the closest star",0,the sun<>appears brighter<>because the sun is the closest star$$$the sun<>is<>the closest star
85,"Around the liquid storage and liquid recovery systems, rain water runoff would be controlled by collection into a sump system.",Rain is an example of liquid water.,0,Rain<>is<>an example of liquid water
86,animalAny living thing that is not a plant.,A moose eats a plant is an example of a living thing that depends on another living thing to survive.,0,A moose<>eats<>a plant$$$A moose eats a plant<>is<>an example of a living thing$$$a living thing<>depends<>on another living thing
87,"A Special Message on Safety Safety should be first in the minds of administrators, teachers, and students actively involved in a science program.","If an accident happens during a science experiment, the first thing a student should do is report to the teacher.",0,an accident<>happens<>during a science experiment$$$the first thing<>should do<>a student$$$the first thing a student should do<>is<>report to the teacher
88,"the elements, plants and living things;",A moose eats a plant is an example of a living thing that depends on another living thing to survive.,0,A moose<>eats<>a plant$$$A moose eats a plant<>is<>an example of a living thing$$$a living thing<>depends<>on another living thing
89,Single organisms have certain characteristics.,Single-celled organisms and multicellular organisms have this in common: both have a way to get rid of waste materials.,0,both<>have<>a way to get rid of waste materials$$$Single-celled organisms and multicellular organisms<>have<>this
90,Railroad workers in the Paris region went on strike for a day or two to claim increased levels of staffing to deal with the anticipated influx of travelers for the World Cup this summer.,A(n) increase in length happens to metal railroad tracks during the heat of a summer day.,0,A(n) increase in length<>happens<>to metal railroad tracks<>during the heat of a summer day
91,Students learn how electric current flows through series circuits and parallel circuits.,A parallel circuit is best described as: electricity flows along more than one pathway,0,A parallel circuit<>is best described<>as: electricity flows along more than one pathway$$$electricity<>flows<>along more than one pathway
92,What if it is as large as Jupiter and so close to the sun it would be part of the solar system?,The largest body in our solar system is the sun.,0,The largest body in our solar system<>is<>the sun
93,"Mass wasting is the name given to erosion due to gravity--this is, when rocks, soil, or dirt moves downhill under the influence of gravity.",Gravity causes rocks to roll downhill.,1,Gravity<>causes<>rocks to roll downhill$$$rocks<>to roll<>downhill
94,"They're just sucking atoms out of the air to make you dinner.""",Air is made of atoms.,0,Air<>is made<>of atoms
95,"among other things, plants give off oxygen and take in carbon dioxide gas necessary for growth and development.",Oxygen gas is given off by plants.,1,Oxygen gas<>is given off<>by plants
96,But there is more to cactuses than spines.,The spines of a cactus help it survive because spines protect the cactus from animals.,0,it<>survive<>because spines protect the cactus from animals$$$spines<>protect<>the cactus from animals
97,"Asymmetric cell divisions - a single cell (zygote) produces a multicellular organism with many different specialized cell types, this requires cell divisions in which daughter cells have different fates.",Single-celled organisms and multicellular organisms have this in common: both have a way to get rid of waste materials.,0,both<>have<>a way to get rid of waste materials$$$Single-celled organisms and multicellular organisms<>have<>this
98,Will there be hot surfaces?,The surface of the sun is much hotter than almost anything on earth.,0,The surface of the sun<>is<>much hotter than almost anything on earth
99,and very little precipitation.,The best explanation for how air masses move across the united states is that the prevailing westerlies move air masses from west to east across the united states but may be deflected by the jet stream.,0,air masses<>move<>across the united states$$$the prevailing westerlies<>may be deflected<>by the jet stream$$$The best explanation for how air masses move across the united states<>is<>that the prevailing westerlies move air masses from west to east across the united states but may be deflected by the jet stream$$$the prevailing westerlies<>move<>air masses<>from west<>to east<>across the united states
100,"By combining an up-to-date child I.D. card and the DNA I.D. Kit, parents can have a valuable child identification system.",Children resemble their parents because they have similar dna.,0,Children<>resemble<>their parents<>because they have similar dna$$$they<>have<>similar dna
101,"Nonrenewable sources such as electricity, fuel oil, natural gas, liquified petroleum gas, coal, purchased steam, and renewable sources such as agriculture and urban waste, geothermal energy, solar energy, and wind energy.","Coal is nonrenewable, and the sun is renewable is how coal and the sun compare as sources of energy.",1,the sun<>is<>renewable
102,In sedimentary rocks most fossils and bedding are destroyed.,Most fossils are found in sedimentary rocks because organisms can be preserved in sedimentary rock.,0,Most fossils<>are found<>in sedimentary rocks<>because organisms can be preserved in sedimentary rock$$$organisms<>can be preserved<>in sedimentary rock
103,"Burning of wood is a chemical change as new substances which cannot be changed back (e.g. carbon dioxide, water vapor) are formed.",Wood burning is an example of a different substance being formed.,1,Wood burning<>is<>an example of a different substance$$$a different substance<>being formed<>
104,What helps a cactus survive the heat?,The spines of a cactus help it survive because spines protect the cactus from animals.,0,it<>survive<>because spines protect the cactus from animals$$$spines<>protect<>the cactus from animals
105,"He can throw either one or both to his offspring, but he doesn't have pink skin or blue eyes.",A human offspring inherit blue eyes.,0,A human offspring<>inherit<>blue eyes
106,Its rotation about its axis relative to that motion is the slowest of all the planets - it takes Mercury about 58.6 Earth-days to complete one full rotation.,It takes earth one week to rotate on its axis seven times.,0,It<>takes<>earth one week$$$It<>takes earth one week to rotate on<>its axis$$$It<>takes earth one week to rotate on its axis<>seven times$$$earth one week<>to rotate on<>its axis$$$earth one week<>to rotate on its axis<>seven times
107,"As tadpoles grow into frogs, lungs replace the gills and allow frogs to breathe on land.",A frog develops (a/an) lungs as it changes from a tadpole to an adult frog.,1,A frog<>develops<>$$$it<>changes<>from a tadpole<>to an adult frog
108,"to mammals, which develop from a single cell to highly complex multicellular organisms with organ systems, comprised of multiple differentiated cells with specialized functions, and having defined and regulated morphologies.",Single-celled organisms and multicellular organisms have this in common: both have a way to get rid of waste materials.,0,both<>have<>a way to get rid of waste materials$$$Single-celled organisms and multicellular organisms<>have<>this
109,"The difference with parallel circuits is that they contain more than one path for electricity to flow, so if one of the paths is broken, the other paths will continue to work.",A parallel circuit is best described as: electricity flows along more than one pathway,1,A parallel circuit<>is best described<>as: electricity flows along more than one pathway$$$electricity<>flows<>along more than one pathway
110,One example was given: flammability - the ability of a substance to burn in the presence of oxygen.,Wood burning is an example of a different substance being formed.,0,Wood burning<>is<>an example of a different substance$$$a different substance<>being formed<>
111,"Oak-Tree, backwards and forwards in time as long as the Acorn/Oak-Tree life survives.",An acorn growing into an adult tree will take the longest time to observe.,0,An acorn<>growing<>into an adult tree$$$An acorn growing into an adult tree<>will take<>the longest time to observe
112,"I can't see many species breeding in winter in Stockholm, though with a mild winter in East Anglia, England more species can breed and thus you always get birds that don't follow the rules.",Many species of birds in new england fly south for the winter months to find an environment with more food.,0,the winter months<>to find<>an environment with more food
113,"All our energy sources-coal, gas, oil, wood, and food-are funneled to us from the sun through green plants.","Coal is nonrenewable, and the sun is renewable is how coal and the sun compare as sources of energy.",0,the sun<>is<>renewable
114,"A parallel circuit is a circuit in which there are at least two independent paths in the circuit back to the source. In a parallel circuit, the current will flow through the closed paths and not through the open paths. In a parallel circuit the electricity has several paths that it can travel.",A parallel circuit is best described as: electricity flows along more than one pathway,1,A parallel circuit<>is best described<>as: electricity flows along more than one pathway$$$electricity<>flows<>along more than one pathway
115,Evaporation is the changing of liquid water to invisible water vapor.,Evaporation is responsible for changing liquid water into water vapor.,1,Evaporation<>is<>responsible for changing liquid water into water vapor
116,"Things of interest to students, teachers,and science hobbyists.","If an accident happens during a science experiment, the first thing a student should do is report to the teacher.",0,an accident<>happens<>during a science experiment$$$the first thing<>should do<>a student$$$the first thing a student should do<>is<>report to the teacher
117,"As the Earth takes one year to make a complete revolution around the Sun, the apparent position of the Sun also takes the same length of time to make a complete circuit of the ecliptic.",Earth makes a complete revolution around the sun about once every year.,1,Earth<>makes about once<>a complete revolution around the sun
118,The heating unit consists of two lengths of tubing cast into a solid metal block.,A(n) increase in length happens to metal railroad tracks during the heat of a summer day.,0,A(n) increase in length<>happens<>to metal railroad tracks<>during the heat of a summer day
119,Some manufacturers already design to block blue light;,A blue block appears blue in the sunlight if only blue light is reflected by the block.,0,only blue light<>is reflected<>by the block
120,How similar are the *kinds of phenomena* that Aristotle explained with the soul and that we explain with DNA?,Children resemble their parents because they have similar dna.,0,Children<>resemble<>their parents<>because they have similar dna$$$they<>have<>similar dna
121,CSX railroad has postponed granting their clearance for the move on Labor Day citing the increased traffic on the former Conrail (Erie-NYC) tracks in front of AC.,A(n) increase in length happens to metal railroad tracks during the heat of a summer day.,0,A(n) increase in length<>happens<>to metal railroad tracks<>during the heat of a summer day
122,Subject matter in which means are provided for connecting the armature or primary windings of one or more electric motors in series circuit relationship with the armature or primary windings of one or more other electric motors at one time and in parallel circuit relationship at another time;,A parallel circuit is best described as: electricity flows along more than one pathway,0,A parallel circuit<>is best described<>as: electricity flows along more than one pathway$$$electricity<>flows<>along more than one pathway
123,The tadpoles feed on aquatic plants and grow quickly eventually developing limbs  and lungs as they emerge out of their pools as tiny frogs.,A frog develops (a/an) lungs as it changes from a tadpole to an adult frog.,1,A frog<>develops<>$$$it<>changes<>from a tadpole<>to an adult frog
124,The spines of the cactus are its leaves.,The spines of a cactus help it survive because spines protect the cactus from animals.,0,it<>survive<>because spines protect the cactus from animals$$$spines<>protect<>the cactus from animals
125,Parents who explain their parenting behavior to the child (especially with a focus on consequences of one's actions for others) have more empathic children.,Children resemble their parents because they have similar dna.,0,Children<>resemble<>their parents<>because they have similar dna$$$they<>have<>similar dna
126,Tell the children that the spines on the cactus are there for a few different reasons.,The spines of a cactus help it survive because spines protect the cactus from animals.,0,it<>survive<>because spines protect the cactus from animals$$$spines<>protect<>the cactus from animals
127,A broken pathway. Electricity cannot flow through an open circuit.,A parallel circuit is best described as: electricity flows along more than one pathway,0,A parallel circuit<>is best described<>as: electricity flows along more than one pathway$$$electricity<>flows<>along more than one pathway
128,The texture of a pumpkin Food Preparation -,A pumpkin is a fruit.,0,A pumpkin<>is<>a fruit
129,"AN OVERVIEW OF THE SOLAR SYSTEM The solar system consists of the Sun, the nine planets, sixty three (63) satellites of the planets, a large number of small bodies (the comets and asteroids), and the interplanetary medium.",The largest body in our solar system is the sun.,0,The largest body in our solar system<>is<>the sun
130,Insert plant stem into water of test tube Check daily add water as needed to keep it at the same level.,Stems transport water to other parts of the plant through a system of tubes.,0,Stems<>transport<>water<>to other parts of the plant
131,"Evaporation The process of liquid water becoming water vapor, including vaporization from water surfaces, land surfaces, and snow fields, but not from leaf surfaces.",Evaporation is responsible for changing liquid water into water vapor.,1,Evaporation<>is<>responsible for changing liquid water into water vapor
132,A blue-highlight block appears over the text.,A blue block appears blue in the sunlight if only blue light is reflected by the block.,0,only blue light<>is reflected<>by the block
133,70 Virginis is not as big or hot as Earth's Sun.,The surface of the sun is much hotter than almost anything on earth.,0,The surface of the sun<>is<>much hotter than almost anything on earth
134,The solar system-the sun and its planets-is a classical n-body problem.,The largest body in our solar system is the sun.,0,The largest body in our solar system<>is<>the sun
135,Possibility of comparatively simply in ambient air to reach atomic resolution have make graphite prevailing substrate for tunneling microscopy.,Air is made of atoms.,0,Air<>is made<>of atoms
136,Rain is liquid water that falls from the clouds to the ground.,Rain is an example of liquid water.,1,Rain<>is<>an example of liquid water
137,"Picking flowers and berries You are not allowed to take twigs, branches, bark, leaves, acorns, nuts or resin from growing trees.",An acorn growing into an adult tree will take the longest time to observe.,0,An acorn<>growing<>into an adult tree$$$An acorn growing into an adult tree<>will take<>the longest time to observe
138,"sun, moon, and stars of an imperial brightness;","From earth, the sun appears brighter than any other star because the sun is the closest star",0,the sun<>appears brighter<>because the sun is the closest star$$$the sun<>is<>the closest star
